node_id,lat,lon,location,"lat,lon"
8837631681,5.6554048,-0.1832776,School of Engineering,"5.6554048,-0.1832776"
8837631680,5.6545263,-0.1887899,,"5.6545263,-0.1887899"
8837631682,5.6552252,-0.1834583,,"5.6552252,-0.1834583"
6479420989,5.6559751,-0.1901431,Anglican Church Legon Hall,"5.6559751,-0.1901431"
8837631689,5.6557709,-0.1835382,,"5.6557709,-0.1835382"
9647799047,5.6576833,-0.1812523,,"5.6576833,-0.1812523"
9647799046,5.6580483,-0.1812704,Pent Block C,"5.6580483,-0.1812704"
6479420991,5.6563351,-0.1899792,,"5.6563351,-0.1899792"
6479420990,5.656305,-0.190193,Anglican Church Main,"5.656305,-0.190193"
1440186843,5.643681,-0.1892496,,"5.643681,-0.1892496"
4239348899,5.6530949,-0.1813612,Old Law Faculty,"5.6530949,-0.1813612"
4239348898,5.6526093,-0.1824961,KAB,"5.6526093,-0.1824961"
4239348897,5.652596,-0.1813669,College of Education,"5.652596,-0.1813669"
8837631695,5.6552176,-0.182774,,"5.6552176,-0.182774"
4239348896,5.652601,-0.1817676,James Quartey Building JQB,"5.652601,-0.1817676"
8837631697,5.6548653,-0.1832276,,"5.6548653,-0.1832276"
8837631696,5.6552011,-0.183263,,"5.6552011,-0.183263"
2826898539,5.6525915,-0.1862205,,"5.6525915,-0.1862205"
2826898538,5.6525927,-0.187842,,"5.6525927,-0.187842"
1986177662,5.6481624,-0.1849785,,"5.6481624,-0.1849785"
7111063545,5.654126,-0.1842611,,"5.654126,-0.1842611"
7111063544,5.6543376,-0.1842584,ISSER Building,"5.6543376,-0.1842584"
7223670458,5.6492472,-0.1920186,,"5.6492472,-0.1920186"
7111063543,5.6543356,-0.1840599,Computer Science Department,"5.6543356,-0.1840599"
7223670463,5.6492491,-0.1924106,,"5.6492491,-0.1924106"
1440186872,5.653265,-0.18497,,"5.653265,-0.18497"
7223670462,5.6489352,-0.1920408,,"5.6489352,-0.1920408"
10580993694,5.6494585,-0.1932088,,"5.6494585,-0.1932088"
4239348892,5.650776,-0.1813535,,"5.650776,-0.1813535"
7111063534,5.6547788,-0.1843431,ISSER Annex,"5.6547788,-0.1843431"
7111063533,5.6543443,-0.1844441,,"5.6543443,-0.1844441"
7111063532,5.6540607,-0.1844542,Department of Mathematics,"5.6540607,-0.1844542"
10580993682,5.6502431,-0.1921776,Common Wealth Hall,"5.6502431,-0.1921776"
10580993681,5.6497669,-0.1925707,,"5.6497669,-0.1925707"
10580993680,5.6499468,-0.1925746,Common Wealth Hall Chapel,"5.6499468,-0.1925746"
4177855813,5.6496224,-0.1959981,,"5.6496224,-0.1959981"
6285386464,5.6543496,-0.1885714,,"5.6543496,-0.1885714"
6285386465,5.6532609,-0.188562,,"5.6532609,-0.188562"
11046891059,5.6538974,-0.1928962,,"5.6538974,-0.1928962"
1159581015,5.6515294,-0.1908953,,"5.6515294,-0.1908953"
4177855822,5.6520717,-0.1906502,,"5.6520717,-0.1906502"
4177855829,5.6598481,-0.185026,,"5.6598481,-0.185026"
4177855831,5.6599344,-0.1890989,,"5.6599344,-0.1890989"
7223670467,5.6490713,-0.1925987,,"5.6490713,-0.1925987"
6763903866,5.6589276,-0.1812011,,"5.6589276,-0.1812011"
7223670468,5.6493642,-0.1929575,,"5.6493642,-0.1929575"
6012492296,5.6598253,-0.1918758,,"5.6598253,-0.1918758"
6012830269,5.6509457,-0.1987832,,"5.6509457,-0.1987832"
6763903857,5.6593609,-0.1815224,,"5.6593609,-0.1815224"
6763903859,5.6593235,-0.1812606,,"5.6593235,-0.1812606"
4177855832,5.6599199,-0.1866283,,"5.6599199,-0.1866283"
6593229984,5.6513254,-0.1829508,Geography Lecturers Office,"5.6513254,-0.1829508"
7223670476,5.6489645,-0.1935616,,"5.6489645,-0.1935616"
6763903863,5.6597613,-0.1807295,,"5.6597613,-0.1807295"
2826898463,5.6514583,-0.1878436,,"5.6514583,-0.1878436"
2826898462,5.6514702,-0.1862328,,"5.6514702,-0.1862328"
4268432910,5.6599419,-0.1892652,,"5.6599419,-0.1892652"
6479421008,5.6543358,-0.1890976,,"5.6543358,-0.1890976"
6285388485,5.6518479,-0.1882045,,"5.6518479,-0.1882045"
6285388489,5.6518325,-0.1878431,,"5.6518325,-0.1878431"
6479420997,5.6550949,-0.1900896,,"5.6550949,-0.1900896"
6479420996,5.6550476,-0.1904482,,"5.6550476,-0.1904482"
